ADAPTING_HISTORY;调节历史……;Adaptation de l'Histoire?;Geschichte wird angepasst...;Przystosowywanie historii...;adaptando historia...;Adattamento storia in corso...;T鰎t閚elmi f醞lok bet鰈t閟e?;Adaptace historie...;;;;;;x
CALC_PATHS;计算路径……\n这将需要几分钟。;Calcul des chemins匼nCela peut prendre plusieurs minutes.;Pfade werden berechnet ...\nDies kann einige Minuten dauern.;Obliczanie 渃ie縠k...\nTo mo縠 potrwa? kilka minut.;Calculando rutas...\nEsto puede llevar varios minutos.;Calcolo percorsi in corso... \nQuesta operazione potrebbe richiedere qualche minuto.;趖vonalak kisz醡韙醩a匼n Ez n閔醤y percet is ig閚ybe vehet?;V齪o鑕t cest...\nTo m鶠e trvat n靕olik minut.;;;;;;x
FE_TOGGLE;快速开始;D閙arrage rapide;Schnellstart;;Inicio r醦ido;;;;;;;;;x
FE_TOGGLE_NORMAL;自定义开始;D閙arrage personnalis?;Benutzerdefinierter Start;;Inicio personalizado;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# Quick Start Texts;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
FE_QS_GER_TITLE;德国，1939年九月;;;;;;;;;;X
FE_QS_GER_GOAL;征服华沙和巴黎;;;;;;;;;;X
FE_QS_GER_INFO;这个剧本的重点主要集中于战争。你可以完\n全控制你的军事力量，而电脑将为你自动处\n理其他事务。\n;;;;;;;;;;X
FE_QS_SOV_TITLE;苏联，1941年六月;;;;;;;;;;X
FE_QS_SOV_GOAL;守住斯大林格勒，莫斯科和列宁格勒;;;;;;;;;;X
FE_QS_SOV_INFO;完全控制苏联的军事力量和生产。电脑将为\n你自动处理科研、外交、情报和政治事务。\n;;;;;;;;;;X
FE_QS_JAP_TITLE;日本，1941年十二月;;;;;;;;;;X
FE_QS_JAP_GOAL;征服夏威夷和瓜达尔卡纳尔岛;;;;;;;;;;X
FE_QS_JAP_INFO;控制强有力的日本海军及登陆部队来征服太\n平洋。电脑将在其他方面帮助你操控国家的\n各个部分。\n;;;;;;;;;;X
FE_QS_USA_TITLE;美国，1936年一月;;;;;;;;;;X
FE_QS_USA_GOAL;参战;;;;;;;;;;X
FE_QS_USA_INFO;你可以完全控制生产、科研、政治和情报，\n在此基础上促进美国准备好参加第二次世界\n大战，从法西斯手中拯救世界。\n;;;;;;;;;;X
######################################################################;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Settings ;;;;;;;;;;;;;;x
FE_SETTING_DIPLOMACY;外交;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
FE_SETTING_PRODUCTION;生产;Production;Produktion;;Producci髇;;;;;;;;;x
FE_SETTING_POLITICS;政治;Politique;Politik;;Pol韙ica;;;;;;;;;x
FE_SETTING_INTEL;情报;Espionnage;Aufkl鋜ung;;Inteligencia;;;;;;;;;x
FE_SETTING_TECHNOLOGY;科研;Technologie;Technologie;;Tecnolog韆;;;;;;;;;x
FE_SETTING_UNITINTERFACE;部队;Arm閑s;Armeen;;Ej閞citos;;;;;;;;;x
DIFF_VERY_EASY;非常简单;Tr鑣 facile;Sehr leicht;;Muy f醕il;;;;;;;;;x
DIFF_EASY;简单;Facile;Leicht;;F醕il;;;;;;;;;x
DIFF_NORMAL;正常;Normal;Normal;;Normal;;;;;;;;;x
DIFF_HARD;困难;Difficile;Schwer;;Dif韈il;;;;;;;;;x
DIFF_VERY_HARD;非常困难;Tr鑣 difficile;Sehr schwer;;Muy dif韈il;;;;;;;;;x
OPT_EASY;正常;Normal;Normal;;Normal;;;;;;;;;x
OPT_EXPERT;专家;Expert;Experte;;Experto;;;;;;;;;x
OPT_AICONTROL;电脑控制;Contr鬺e de l'IA;KI-Kontrolle;;Control de la IA;;;;;;;;;x
OPT_AI_CORP;电脑控制军级单位;Corps contr鬺閟 par l'IA;KI kontrolliert Korps;;La IA controla los cuerpos;;;;;;;;;x
OPT_AI_ARMY;电脑控制集团军级单位;Arm閑s contr鬺閟 par l'IA;KI kontrolliert Armeen;;La IA controla los ej閞citos;;;;;;;;;x
OPT_AI_ARMY_GROUP;电脑控制集群级单位;Groupes d'arm閑s contr鬺閟 par l'IA;KI kontrolliert Armeegruppen;;La IA controla los grupos de ej閞cito;;;;;;;;;x
OPT_AI_THEATER;电脑控制战区级单位;Th殁tres des op閞ations contr鬺閟 par l'IA;KI kontrolliert Kriegsschaupl鋞ze;;La IA controla los teatros;;;;;;;;;x
OPT_PLAYER_CONTROL;玩家控制;Contr鬺e du joueur;Spielersteuerung;;Control del jugador;;;;;;;;;x
OPT_NORMAL;正常;Normal;Normal;;Normal;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Misc ;;;;;;;;;;;;;;x
FE_HEAD_OF_STATE;国家元首;Chef de l'閠at;Staatsoberhaupt;;Jefe de Estado;;;;;;;;;x
ATPEACE;处于和平。;En paix.;Im Frieden;;En paz.;;;;;;;;;x
ATWAR;处于战争。;En guerre.;Im Krieg;;En guerra.;;;;;;;;;x
WORLD_YEAR;$YEAR$年$MONTH$$DAY$日?Y$NAME$?W;?Y$NAME$?W, $DAY$ $MONTH$ $YEAR$;;;?Y$NAME$?W, $DAY$ de $MONTH$, $YEAR$;;;;;;;;;x
CORE_PAUSED;暂停;PAUSE;PAUSE;PAUZA;PAUSA;PAUSA;Sz黱et;PAUZA;;;;;;x
SM_SETTINGS;设置;Param鑤res;Einstellungen;Ustawienia;Configuraci髇;Impostazioni;Be醠l韙醩ok;Nastaven?;;;;;;x
SM_GAME;游戏;Jeu;Spiel;Gra;Juego;Partita;J醫閗;Hra;;;;;;x
SM_VIDEO;视频;Vid閛;Grafik;Grafika;V韉eo;Video;Vide?;Grafika;;;;;;x
SM_AUDIO;音频;Audio;Sound;D焪i阫;Sonido;Audio;Hangok;Zvuk;;;;;;x
SM_CONTROLS;控制;Contr鬺es;Maus;Mysz;CONTROLES;Comandi;Ir醤y韙醩;Ovl醖醤?;;;;;;x
SM_MASTER_VOLUME;主音量;Volume principal;Hauptlautst鋜ke;G硂渘o滄 og髄na;Volumen principal;Volume generale;Hanger?;Celkov? hlasitost;;;;;;x
SM_EFFECT_VOLUME;效果音量;Volume des effets sonores;Soundeffektlautst鋜ke;G硂渘o滄 efekt體;Volumen de los efectos;Volume effetti;Effektek hangereje;Hlasitost zvukov齝h efekt?;;;;;;x
SM_MUSIC_VOLUME;音乐音量;Volume de la musique;Musiklautst鋜ke;G硂渘o滄 muzyki;Volumen de la m鷖ica;Volume musica;Zene hangereje;Hlasitost hudby;;;;;;x
SM_SCROLL_SPEED;卷屏速度;Vitesse de d閒ilement;Scrollgeschwindigkeit;Pr阣ko滄 przewijania;Velocidad de desplazamiento;Velocit? scorrimento;G鰎get閟 sebess間e;Rychlost posouv醤?;;;;;;x
SM_ZOOM_SPEED;缩放速度;Vitesse du zoom;Zoomgeschwindigkeit;Pr阣ko滄 skalowania;Velocidad de zoom;Velocit? zoom;Nagy韙醩 sebess間e;Rychlost zaost鴒v醤?;;;;;;x
SM_MOUSE_SPEED;鼠标速度;Vitesse de la souris;Mausgeschwindigkeit;Pr阣ko滄 myszy;Velocidad del rat髇;Velocit? mouse;Eg閞 sebess間e;Rychlost my歩;;;;;;x
SM_RESOLUTION;分辨率;R閟olution;Aufl鰏ung;Rozdzielczo滄;Definici髇;Risoluzione;Felbont醩;Rozli歟n?;;;;;;x
SM_REFRESH_RATE;刷新率;Taux de rafra頲hissement;Bildwiederholrate;Pr阣ko滄 od渨ie縜nia;Tasa de actualizaci髇;Aggiornamento;Friss韙閟i frekvencia;Obnovovac? frekvence;;;;;;x
SM_GAMMA;亮度;Gamma;Gamma;Gamma;Gamma;Gamma;Gamma;Jas (Gamma);;;;;;x
SM_SHADOWS;阴影;Ombres;Schatten;Cienie;Sombras;Ombre;羠ny閗ok;St韓ov醤?;;;;;;x
SM_TREES;树木;Arbres;B鋟me;Drzewa;羠boles;Alberi;F醟;Stromy;;;;;;x
SM_DIFFICULTY;困难度;Difficult?;Schwierigkeit;Trudno滄;Dificultad;Difficolt?;Neh閦s間;Obt頌nost;;;;;;x
SM_AUTOSAVE_INTERVAL;自动储存间隔;Intervalle de sauvegarde automatique;Intervall f. autom. Speichern ;Przedzia? autozapisu;Intervalo de guardado autom醫ico;Intervallo autosalvataggio;Automent閟 id鮧鰖e;Interval automatick閔o ukl醖醤?;;;;;;x
SM_APPLY;应用;Appliquer;Anwenden;Zastosuj;Aplicar;Applicare;Alkalmaz;Pou烅t;;;;;;x
SM_BACK;返回;Retour;Zur點k;Powr髏;Atr醩;Indietro;Vissza;Zp靦;;;;;;x
SM_ALERT;警告;Alerte;Benachrichtigung;Powiadomienie;Alerta;Avvertimento;Riad?;V齭traha;;;;;;x
SM_RESTART;你需要重启游戏以实现更改后的效果。;Vous devez red閙arrer pour que la modification prenne effet.;Sie m黶sen den Rechner neu starten, damit die 膎derung in Kraft treten kann.;Aby zmiany zosta硑 zapisane, musisz ponownie uruchomi? gr?.;Tendr醩 que reiniciar para que los cambios surtan efecto.;Per rendere attive le modifiche ? necessario riavviare.;Az 閞v閚ybel閜tet閟hez 鷍ra kell ind韙anod a programot.;Zm靚y se uplatn? a? po restartu hry.;;;;;;x
SM_WP;设置文件写入错误，确认文件没有写保护后重试。;Erreur lors de l'閏riture du fichier de param鑤res. V閞ifiez qu'il n'est pas prot間? et r閑ssayez.;Fehler beim Schreiben der Einstellungsdatei. Pr黤en Sie, ob die Datei schreibgesch黷zt ist und versuchen Sie es erneut;B彻d podczas zapisu pliku ustawie?. Sprawd?, czy plik nie jest chroniony przed zapisem i spr骲uj ponownie.;Error de escritura en el archivo de configuraci髇. Comprueba que el archivo no est? protegido contra escritura e int閚talo de nuevo.;Errore di scrittura nel file delle impostazioni. Controllare che il file non sia protetto da scrittura e riprovare.;Hiba, nem siker黮t 韗ni a be醠l韙醩at tartalmaz? f醠ba. Ellen鮮izd, hogy a f醞l nem 韗醩;Chyba p鴌 zapisov醤? do souboru s nastaven韒. Ov禅te, zda soubor nen? chr醤靚 p鴈d z醦isem, a pokus opakujte.;;;;;;x
FE_HOST;主机;H閎erger;Host;Stw髍z gr?.;Anfitri髇;Host;Hoszt;Hostitel;;;;;;x
FE_JOIN_LAN_GAME;加入局域网游戏;Rejoindre une partie LAN;LAN-Spiel beitreten;Do彻cz do gry w sieci LAN.;Unirse a juego en LAN;Partecipare a partita LAN;Csatlakoz醩 LAN j醫閗hoz;P鴌pojit se ke h鴈 v s韙i LAN;;;;;;x
FE_JOIN_INTERNET_GAME;加入Internet游戏;Rejoindre une partie sur Internet;Internetspiel beitreten;Do彻cz do gry internetowej.;Unirse a juego en Internet;Partecipare a partita Internet;Csatlakoz醩 Internetes j醫閗hoz;P鴌pojit ke h鴈 v Internetu;;;;;;x
FE_SCAN;搜索;Rechercher;SCAN;skanuj;exploraci髇 RAD;scansione;keres閟;sken;;;;;;x
FE_METASERVER;作为服务器;M閠aserveur;Metaserver;Metaserwer;Metaserver;Metaserver;K鰖tes szerver;Prim醨n? server;;;;;;x
FE_BACK;返回;Retour;Zur點k;Powr髏;Atr醩;Indietro;Vissza;Zp靦;;;;;;x
FE_PLAYER;玩家;Joueur;Spieler;Gracz;Jugador;Giocatore;J醫閗os;Hr徼;;;;;;x
FE_PLAYER_NAME;玩家姓名：;Nom du joueur :;Spielername:;Nazwa gracza:;Nombre del jugador:;Nome giocatore:;J醫閗os n関:;Jm閚o hr徼e:;;;;;;x
FE_SINGLE_PLAYER;单人游戏;Un joueur;Einzelspieler;Gra pojedyncza;Un jugador;Giocatore singolo;Egyj醫閗os m骴;Hra pro jednoho hr徼e;;;;;;x
FE_MULTI_PLAYER;多人游戏;Multi-joueurs;Mehrspieler;Gra wieloosobowa;Multijugador;Multigiocatore;T鯾bj醫閗os m骴;Hra pro v韈e hr徼?;;;;;;x
FE_OPTIONS;选项;Options;Optionen;Opcje;Options;Opzioni;Be醠l韙醩ok;Mo瀗osti;;;;;;x
FE_CREDITS;制作名单;G閚閞ique;Credits;Tw髍cy gry;Cr閐itos;Riconoscimenti;K閟z韙鮧;Auto鴌;;;;;;x
FE_EXIT;退出;Quitter;Beenden;Wyj渃ie;Salir;Esci;Kil閜閟;Konec;;;;;;x
FE_NATION_TO_PLAY;选择你想要使用的国家。;Cliquez sur la nation avec laquelle vous voulez jouer?;Klicken Sie auf das Land, dessen Geschicke Sie leiten m鯿hten ?;Kliknij pa駍two, kt髍ym chcesz w砤da?...;Haz clic en la naci髇 con la que desees jugar...;Fare clic sulla nazione con cui si desidera giocare...;Kattints arra a nemzetre, amelyikkel j醫szani szeretn閘;Klepnut韒 vyberte n醨od, za kter? chcete hr醫...;;;;;;x
FE_NEW_GAME;开始新游戏;Nouvelle partie;Neues Spiel;Nowa gra;Nueva partida;Nuova partita;趈 j醫閗;Nov? hra;;;;;;x
FE_SAVE_GAME;储存游戏;Sauvegarder des parties;Spiele speichern;Zapisz gr?;Guardar partida;Salva partite;Ment閟ek;Ulo瀒t hry;;;;;;x
FE_HISTORICAL_START;史实开局;D閎ut historique;Historischer Start;Start historyczny;Inicio hist髍ico;Avvio storico;T鰎t閚elemh鹲間;Historick? za栳tek;;;;;;x
FE_SAVED_GAMES;从存档开始;Parties sauvegard閑s;Spielest鋘de;Zapisane gry;Partidas guardadas;Partite salvate;Ment閟ek;Ulo瀍n? hry;;;;;;x
FE_SELECT_NATION;点击地图以选择国家。;Select one of the 4 countries below.;Select one of the 4 countries below.;Select one of the 4 countries below.;Select one of the 4 countries below.;Select one of the 4 countries below.;Select one of the 4 countries below.;Select one of the 4 countries below.;;;;;;x
FE_NO_COUNTRY_SELECTED;尚未选择国家;Aucun pays n'est s閘ectionn?;Kein Land ausgew鋒lt;Nie wybrano pa駍twa;No se ha seleccionado pa韘;Nessun paese selezionato;Nincs orsz醙 kijel鰈ve.;Nebyla vybr醤a 炨dn? zem?;;;;;;x
FE_MILITARY;军事;Militaire;Milit鋜;Wojsko;Militar;Militare;Hadsereg;Vojenstv?;;;;;;x
FE_ECONOMY;经济;蒫onomie;Wirtschaft;Ekonomia;Econom韆;Economia;Gazdas醙;Ekonomika;;;;;;x
FE_DIPLOMACY;外交;Diplomatie;Diplomatie;Dyplomacja;Diplomacia;Diplomazia;Diplom醕ia;Diplomacie;;;;;;x
FE_DIFFICULTY;难度;Difficult? :;Schwierigkeit:;Trudno滄:;Dificultad:;Difficolt?:;Neh閦s間:;Obt頌nost:;;;;;;x
FE_AT_WAR;战争状态：;En guerre :;Im Krieg:;W stanie wojny:;En guerra:;In guerra:;H醔or鷅an:;Ve v醠ce:;;;;;;x
FE_ALLIES;同盟国家：;Alli閟 :;B黱dnispartner:;Sojusze:;Aliados:;Alleati:;Sz鰒ets間esek:;Spojenci:;;;;;;x
FE_LOAD;读取;CHARGER;LADEN;WCZYTAJ;CARGAR;CARICARE;BET諰T蒘;NAHR罷;;;;;;x
FE_BOOKEDMARKED;战役时间：;Dates ayant un signet :;Markierte Daten:;Oznaczone daty:;Fechas se馻ladas:;Date importanti:;Mentett id鮬ontok;Ozna鑕n? data:;;;;;;x
FE_STARTING_DATE;开始时间;Date de d閎ut;Startdatum;Data pocz箃kowa;Fecha de inicio;Data di inizio;Kezd閟 d醫uma;Datum startu;;;;;;x
FE_BOOKMARK_TITLE;战役名称;Titre du signet;Titelmarkierung;Tytu? zak砤dki;Se馻lar t韙ulo;Titolo data importante;K鰊yvjelz? neve;Titul z醠o瀔y;;;;;;x
FE_BOOKMARK_DATE;战役时间;Appliquer un signet ? la date;Datumsmarkierung;Data zak砤dki;Se馻lar fecha;Data importante;K鰊yvjelz? d醫uma;Datum z醠o瀔y;;;;;;x
FE_LOCAL_GAMES;本地游戏;parties locales;lokale Spiele;gry lokalne;Partidas locales;partite in locale;helyi j醫閗ok;m韘tn? hry;;;;;;x
FE_MY_GAME;我的游戏;Ma partie;Mein Spiel;Moja gra;Mi partida;Partita personale;Saj醫 j醫閗;M? hra;;;;;;x
FE_CANCEL;取消;Annuler;Abbrechen;Anuluj;Cancelar;Annullare;M間se;Zru歩t;;;;;;x
PLAYER_LOST_TITLE;玩家断开连接。;Joueur d閏onnect?.;Verbindung zum Spieler getrennt.;Gracz niedost阷ny;Jugador desconectado.;Giocatore disconnesso.;J醫閗os lekapcsold骴ott;Hr徼 byl odpojen.;;;;;;x
PLAYER_LOST_DESC;玩家$playername$断开了连接，选择你的行动。;Joueur(s) $playername$ d閏onnect?(s). Choisissez votre action.;Verbindung der/des Spieler/s $playername$ getrennt.;Gracz(e) $playername$ niedost阷ny(-ni). Wybierz opcj?.;Jugador(s) $playername$ desconectado. Escoge una acci髇.;Giocatore/i $playername$ disconnesso/i. Cosa intendi fare?;$playername$ j醫閗os lekapcsol骴ott. V醠assz valamit.;Hr徼 $playername$ byl odpojen. Vyberte akci.;;;;;;x
SERVER_LOST_TITLE;丢失主机！;Connexion perdue avec le serveur !;Serververbindung getrennt!;Serwer niedost阷ny!;?Servidor perdido!;Server scollegato!;A szerverkapcsolat megszakadt!;Server ztracen!;;;;;;x
SERVER_LOST_DESC;主机已经丢失，游戏即将终止。;Le serveur a 閠? perdu. La partie va 阾re termin閑.;Die Serververbindung wurde getrennt. Das Spiel wird beendet.;Serwer jest niedost阷ny. Nast筽i koniec gry.;Se ha perdido el servidor. La partida finalizar?.;Il server non ? pi? collegato. La partita verr? terminata.;A szerverkapcsolat megszakadt. V間et 閞t a j醫閗.;Server byl ztracen. Hra skon桧.;;;;;;x
OK;好的;Ok;Ok;OK;Aceptar;Ok;Rendben;Ok;;;;;;x
CANCEL;取消;Annuler;Abbrechen;Anuluj;Cancelar;Annullare;M間sem;Zru歩t;;;;;;x
SAVE;储存;Sauvegarder;Speichern;Zapisz;Guardar;Salvare;Ment閟;Ulo瀒t;;;;;;x
QUIT;退出;Quitter;Beenden;Wyjd?;Salir;Uscire;Kil閜閟;Konec;;;;;;x
START;开始;Commencer;Start;Rozpocznij;Inicio;Avviare;Ind韙醩;Spustit;;;;;;x
CONTINUE;继续;Continuer;Fortfahren;Kontynuuj;Continuar;Continuare;Folytat醩;Pokra鑟vat;;;;;;x
CONNECTED;已连接。;Connect?.;Verbindung aktiv.;Po彻czony.;Conectado.;Connesso.;Kapcsol骴va.;P鴌pojeno.;;;;;;x
NAME_TAKEN;你已被击败，请离开并选择其他游戏。;Votre nom est d閖? utilis?. Veuillez quitter et en choisir un autre.;Dieser Name ist bereits vergeben. Bitte beenden Sie und w鋒len einen anderen.;Nazwa jest ju? zaj阾a. Wybierz inn?.;El nombre elegido ya est? en uso. Por favor, sal y selecciona otro.;Nome esistente. Uscire e selezionare un altro nome.;Ezt a nevet m醨 haszn醠j醟. K閞lek, v醠assz m醩ikat.;Toto jm閚o nen? k dispozici. Vyberte si jin? jm閚o.;;;;;;x
CONNECTING;连接中……;Connexion?;Verbindung wird hergestellt ?;Trwa 彻czenie...;Conectando...;Connessione in corso...;Kapcsol骴醩?;P鴌pojen韰;;;;;;x
BANNED;你已被此游戏封禁;Vous avez 閠? banni de cette partie;Sie wurden von diesem Spiel ausgeschlossen;Masz zakaz uczestnictwa w tej grze.;Has sido vetado para esta partida;Sei stato espulso dalla partita.;Ki vagy tiltva ebb鮨 a j醫閗b髄;Byl v醡 zak醶醤 p?韘tup k t閠o h鴈;;;;;;x
CONNECTION_FAILED;连接失败！;La connexion a 閏hou? !;Verbindungsherstellung fehlgeschlagen!;Nie uda硂 si? po彻czy?!;?Fallo de conexi髇!;Connessione non riuscita!;Kapcsol骴醩 sikertelen!;P鴌pojen? se nezda鴌lo!;;;;;;x
GAME_NOT_FOUND;没有找到游戏。;Partie introuvable.;Spiel nicht gefunden.;Nie znaleziono gry.;No se ha encontrado la partida.;Partita non rilevata.;J醫閗 nem tal醠hat?;Hra nebyla nalezena.;;;;;;x
WAITING_FOR_PLAYERS;等待玩家……;En attente de joueurs?;Warte auf Spieler ...;Oczekiwanie na graczy...;Esperando jugadores...;In attesa di altri giocatori...;V醨akoz醩 a j醫閗osokra?;萫k醡 na hr徼e...;;;;;;x
